Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
Serbia and Montenegro,44.8174,20.46341,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999),-
Slovakia,48.66667,19.5,Present,Few occurrences,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
Spain,40,-4,Present,Few occurrences,Not recorded,-,Not recorded,-,EPPO (2021); CABI and EPPO (1999); Timms-Wilson et al. (2001),-
United Kingdom,54.75844,-2.69531,Present,Transient under eradication,Not recorded,-,Not recorded,-,CABI (Undated); CABI (Undated); CABI and EPPO (1999); CABI and EPPO (1999); EPPO (2021); Li et al. (2014),-
 - England,52.16045,-0.70312,Present,Transient under eradication,Not recorded,-,Not recorded,-,EPPO (2021),-
Canada,60.10867,-113.64258,Present,Transient under eradication,Not recorded,-,Not recorded,-,IPPC (2020a); EPPO (2021),-
 - Ontario,49.25014,-84.49983,Present,Transient under eradication,Not recorded,-,Not recorded,-,IPPC (2020a),Detection of R. solanacearum race 3 biovar 2 in a symptomatic geranium (Pelargonium sp.) sample taken from an Ontario greenhouse.
Costa Rica,10,-84,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021); Li et al. (2014),-
Guadeloupe,16.25,-61.58333,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021); Li et al. (2014),-
Guatemala,15.5,-90.25,Present,Localized,Not recorded,-,Not recorded,-,EPPO (2021); Huang et al. (2012); Perez et al. (2008),-
Haiti,19.07582,-72.29616,Present,-,Not recorded,-,Not recorded,-,Li et al. (2014),-
Mexico,23,-102,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); Ahmad et al. (2017); CABI and EPPO (1999); Castillo and Greenberg (2007); EPPO (2021); Huang et al. (2012),-
United States,39.76,-98.5,Present,Few occurrences,Not recorded,-,Not recorded,-,EPPO (2021); Heuer et al. (2007),-
 - Illinois,40.00032,-89.25037,Present,-,Not recorded,-,Not recorded,-,EPPO (2021),-
 - Indiana,40.00032,-86.25027,Present,-,Not recorded,-,Not recorded,-,EPPO (2021),-
 - Michigan,44.25029,-85.50033,Present,Transient under eradication,Not recorded,-,Not recorded,-,IPPC (2020); EPPO (2021),Detection of R. solanacearum race 3 biovar 2 in a symptomatic geranium (Pelargonium sp.) plant located in a Michigan greenhouse.
 - New Hampshire,43.66702,-71.4998,Present,-,Not recorded,-,Not recorded,-,EPPO (2021),-
 - New Jersey,40.16706,-74.49987,Present,-,Not recorded,-,Not recorded,-,EPPO (2021),-
 - New York,43.00035,-75.4999,Present,Few occurrences,Not recorded,-,Not recorded,-,EPPO (2021),-
 - Pennsylvania,40.27245,-76.90567,Present,Localized,Not recorded,-,Not recorded,-,EPPO (2021),-
 - South Dakota,44.50026,-100.25069,Present,-,Not recorded,-,Not recorded,-,EPPO (2021),-
 - Wisconsin,44.50024,-90.00041,Present,-,Not recorded,-,Not recorded,-,EPPO (2021),-
Australia,-25,135,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); Castillo and Greenberg (2007); EPPO (2021); Heuer et al. (2007); Huang et al. (2012); Li et al. (2014),-
 - New South Wales,-33,146,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
 - Queensland,-20,145,Present,-,Not recorded,-,Not recorded,-,Castillo and Greenberg (2007),-
 - South Australia,-30,135,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
 - Victoria,-37,145,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
New Caledonia,-21.5,165.5,Present,Localized,Not recorded,-,Not recorded,-,EPPO (2021),-
Papua New Guinea,-6,147,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
Argentina,-34,-64,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
Bolivia,-17,-65,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); Castillo and Greenberg (2007); EPPO (2021),-
Brazil,-10,-55,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); Castillo and Greenberg (2007); EPPO (2021); Horita and Tsuchiya (2001); Horita et al. (2005); Huang et al. (2012),-
 - Goias,-15.58071,-49.63623,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
 - Minas Gerais,-18,-44,Present,-,Not recorded,-,Not recorded,-,Horita et al. (2005),-
 - Parana,-24.5,-51.33333,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); Castillo and Greenberg (2007); EPPO (2021); Horita and Tsuchiya (2001); Horita et al. (2005),-
 - Pernambuco,-8.33333,-37.75,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
 - Rio Grande do Sul,-30,-53.5,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
 - Santa Catarina,-27,-50,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); Castillo and Greenberg (2007); EPPO (2021); Horita et al. (2005),-
 - Sao Paulo,-22,-49,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),-
Chile,-30,-71,Present,Widespread,Not recorded,Introduced,Not recorded,-,CABI (Undated); CABI and EPPO (1999); EPPO (2021),First reported: 198*
Colombia,4,-73.25,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); Ahmad et al. (2017); CABI and EPPO (1999); EPPO (2021); Heuer et al. (2007),-
French Guiana,4,-53,Present,-,Not recorded,-,Not recorded,-,EPPO (2021),-
Peru,-10,-75.25,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); CABI and EPPO (1999); Castillo and Greenberg (2007); EPPO (2021); Heuer et al. (2007); Horita et al. (2005),-
Uruguay,-33,-56,Present,-,Not recorded,-,Not recorded,-,CABI (Undated); Ahmad et al. (2017); CABI and EPPO (1999); EPPO (2021),-
Venezuela,8,-66,Present,-,Not recorded,-,Not recorded,-,EPPO (2021); García et al. (1999),-
